round,mode,total_reward,average_waiting_time,average_queue_length,throughput,average_travel_time,episode_duration
0,balanced,-332986.25,546.7992610837439,61.664120370370306,860.0,677.913382594417,1800.0
0,queue_clearance,-385107.0,645.4323418516967,71.31611111111116,623.0,746.3137829912024,1800.0
0,main_road_priority,-332730.0,543.498570845243,61.616666666666625,916.0,678.0698244181299,1800.0
0,congestion_resistance,-384370.0,646.8186790071519,71.17962962962953,622.0,746.1236853176273,1800.0
5,balanced,-161117.25,262.88295269168026,29.836527777777786,1472.0,442.42292006525287,1800.0
5,queue_clearance,-120839.5,197.18352365415987,22.377685185185182,1714.0,400.3042414355628,1800.0
5,main_road_priority,-143355.5,233.92659053833606,26.547314814814822,1630.0,429.29282218597064,1800.0
5,congestion_resistance,-130781.75,213.40497553017946,24.218842592592615,1656.0,410.28140293637847,1800.0
10,balanced,-127353.0,212.9452569995821,23.583888888888893,1617.0,410.0359381529461,1800.0
10,queue_clearance,-123763.0,207.54400670578374,22.91907407407405,1632.0,406.14543168482817,1800.0
10,main_road_priority,-119259.75,199.58803847762442,22.08513888888891,1659.0,400.8887494772062,1800.0
10,congestion_resistance,-126062.75,211.0774058577406,23.344953703703716,1622.0,409.02092050209205,1800.0
15,balanced,-47315.75,77.26876019575856,8.762175925925945,1979.0,297.6973898858075,1800.0
15,queue_clearance,-79402.5,131.64995857497928,14.70416666666668,1815.0,343.73156586578295,1800.0
15,main_road_priority,-56363.0,92.5892490767337,10.437592592592603,1911.0,309.84776364382435,1800.0
15,congestion_resistance,-55841.0,91.52067130577159,10.34092592592593,1920.0,308.7912402783463,1800.0
20,balanced,-88077.5,143.74877650897227,16.310648148148143,1810.0,349.15130505709624,1800.0
20,queue_clearance,-90179.25,147.1668026101142,16.69986111111112,1788.0,352.6916802610114,1800.0
20,main_road_priority,-89472.25,146.0362969004894,16.568935185185186,1806.0,352.0322185970636,1800.0
20,congestion_resistance,-84699.5,138.24877650897227,15.6850925925926,1816.0,345.8099510603589,1800.0
25,balanced,-48118.25,78.57504078303425,8.910787037037043,1968.0,297.6977977161501,1800.0
25,queue_clearance,-38829.75,63.43515497553018,7.1906944444444445,2042.0,287.3747960848287,1800.0
25,main_road_priority,-34953.5,57.1015497553018,6.472870370370367,2086.0,284.79649265905385,1800.0
25,congestion_resistance,-38829.75,63.43515497553018,7.1906944444444445,2042.0,287.3747960848287,1800.0
30,balanced,-35811.25,58.491435562805876,6.631712962962971,2046.0,282.7736541598695,1800.0
30,queue_clearance,-41575.25,67.89518760195759,7.699120370370362,2007.0,288.82871125611746,1800.0
30,main_road_priority,-32529.0,53.14110929853181,6.023888888888889,2077.0,280.7920065252855,1800.0
30,congestion_resistance,-41575.25,67.89518760195759,7.699120370370362,2007.0,288.83075040783035,1800.0
35,balanced,-82219.75,134.19494290375204,15.225879629629626,1833.0,340.5273246329527,1800.0
35,queue_clearance,-87341.5,142.52243066884176,16.17435185185187,1806.0,346.05872756933115,1800.0
35,main_road_priority,-85906.25,140.20513866231647,15.908564814814804,1818.0,344.1162316476346,1800.0
35,congestion_resistance,-87341.5,142.52243066884176,16.17435185185187,1806.0,346.057911908646,1800.0
40,balanced,-44901.5,73.3225938009788,8.31509259259258,2005.0,294.5020391517129,1800.0
40,queue_clearance,-78804.5,128.60725938009787,14.593425925925922,1831.0,335.9759380097879,1800.0
40,main_road_priority,-44595.5,72.8389070146819,8.258425925925922,2001.0,295.123572593801,1800.0
40,congestion_resistance,-76237.25,124.42414355628058,14.118009259259258,1844.0,333.228792822186,1800.0
45,balanced,-85283.75,139.17903752039152,15.793287037037043,1814.0,343.7573409461664,1800.0
45,queue_clearance,-87303.25,142.4743066884176,16.167268518518533,1807.0,346.1031810766721,1800.0
45,main_road_priority,-86883.5,141.78915171288745,16.08953703703704,1804.0,345.8605220228385,1800.0
45,congestion_resistance,-87303.25,142.4743066884176,16.167268518518533,1807.0,346.1035889070147,1800.0
50,balanced,-95143.25,155.25530179445352,17.61912037037038,1791.0,357.1105220228385,1800.0
50,queue_clearance,-106520.5,173.8062805872757,19.726018518518515,1746.0,372.65619902120716,1800.0
50,main_road_priority,-92084.25,150.2679445350734,17.052638888888882,1799.0,352.5469004893964,1800.0
50,congestion_resistance,-106520.5,173.8062805872757,19.726018518518515,1746.0,372.65619902120716,1800.0
55,balanced,-108381.25,176.85807504078304,20.07060185185186,1734.0,375.6182707993475,1800.0
55,queue_clearance,-106615.5,173.9779771615008,19.743611111111136,1744.0,373.6305057096248,1800.0
55,main_road_priority,-108159.5,176.5016313213703,20.029537037037006,1745.0,375.4706362153344,1800.0
55,congestion_resistance,-106615.5,173.9779771615008,19.743611111111136,1744.0,373.6305057096248,1800.0
